Area,Item,Year,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp,Area_encoded,Item_encoded
Albania,Maize,1990,36613,1485,121,16.37,0,1
Albania,Potatoes,1990,66667,1485,121,16.37,0,2
Albania,Sorghum,1990,12500,1485,121,16.37,0,3
Albania,Soybeans,1990,7000,1485,121,16.37,0,4
Albania,Wheat,1990,30197,1485,121,16.37,0,6
Albania,Maize,1991,29068,1485,121,15.36,0,1
Albania,Potatoes,1991,77818,1485,121,15.36,0,2
Albania,Sorghum,1991,6667,1485,121,15.36,0,3
Albania,Soybeans,1991,6066,1485,121,15.36,0,4
Albania,Wheat,1991,20698,1485,121,15.36,0,6
Albania,Maize,1992,24876,1485,121,16.06,0,1
Albania,Potatoes,1992,82920,1485,121,16.06,0,2
Albania,Sorghum,1992,3747,1485,121,16.06,0,3
Albania,Soybeans,1992,4507,1485,121,16.06,0,4
Albania,Wheat,1992,24388,1485,121,16.06,0,6
Albania,Maize,1993,24185,1485,121,16.05,0,1
Albania,Potatoes,1993,98446,1485,121,16.05,0,2
Albania,Soybeans,1993,7998,1485,121,16.05,0,4
Albania,Wheat,1993,29976,1485,121,16.05,0,6
Albania,Maize,1994,25848,1485,201,16.96,0,1
Albania,Potatoes,1994,81404,1485,201,16.96,0,2
Albania,Soybeans,1994,7927,1485,201,16.96,0,4
Albania,Wheat,1994,24745,1485,201,16.96,0,6
Albania,Maize,1995,31300,1485,251,15.67,0,1
Albania,Potatoes,1995,111323,1485,251,15.67,0,2
Albania,Soybeans,1995,11791,1485,251,15.67,0,4
Albania,Wheat,1995,28703,1485,251,15.67,0,6
Albania,Maize,1996,32604,1485,313.96,15.64,0,1
Albania,Potatoes,1996,106138,1485,313.96,15.64,0,2
Albania,Soybeans,1996,15480,1485,313.96,15.64,0,4
Albania,Wheat,1996,21741,1485,313.96,15.64,0,6
Albania,Maize,1997,31862,1485,376.93,15.9,0,1
Albania,Potatoes,1997,109874,1485,376.93,15.9,0,2
Albania,Soybeans,1997,12768,1485,376.93,15.9,0,4
Albania,Wheat,1997,28516,1485,376.93,15.9,0,6
Albania,Maize,1998,33416,1485,439.89,16.27,0,1
Albania,Potatoes,1998,127212,1485,439.89,16.27,0,2
Albania,Soybeans,1998,14327,1485,439.89,16.27,0,4
Albania,Wheat,1998,28037,1485,439.89,16.27,0,6
Albania,Maize,1999,37455,1485,502.86,16.57,0,1
Albania,Potatoes,1999,142018,1485,502.86,16.57,0,2
Albania,Soybeans,1999,17143,1485,502.86,16.57,0,4
Albania,Wheat,1999,24954,1485,502.86,16.57,0,6
Albania,Maize,2000,38811,1485,565.82,16.67,0,1
Albania,Potatoes,2000,141228,1485,565.82,16.67,0,2
Albania,Soybeans,2000,15000,1485,565.82,16.67,0,4
Albania,Wheat,2000,30455,1485,565.82,16.67,0,6
Albania,Maize,2001,38135,1485,628.79,16.59,0,1
Albania,Potatoes,2001,148818,1485,628.79,16.59,0,2
Albania,Soybeans,2001,20000,1485,628.79,16.59,0,4
Albania,Wheat,2001,28220,1485,628.79,16.59,0,6
Albania,Maize,2002,39460,1485,691.75,16.47,0,1
Albania,Potatoes,2002,153868,1485,691.75,16.47,0,2
Albania,Soybeans,2002,20000,1485,691.75,16.47,0,4
